epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_pr_auc
0.0,0.6688290913899739,0.425,1.0,0.5964912280701754,0.36652486032111486
1.0,0.5973238249619802,0.4117647058823529,0.8235294117647058,0.5490196078431373,0.39761956525661135
2.0,0.5692650993665059,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.4019914118803895
3.0,0.5447935779889425,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.4771953569255224
4.0,0.42900289098421734,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5081616750233521
5.0,0.3822625031073888,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5452936973114698
6.0,0.365390674273173,0.4411764705882353,0.8823529411764706,0.5882352941176471,0.5265212363392439
7.0,0.38281369308630625,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.5737867772806465
8.0,0.3219882090886434,0.42857142857142855,0.7058823529411765,0.5333333333333333,0.5692449419894644
9.0,0.36541624665260314,0.5652173913043478,0.7647058823529411,0.65,0.6322519542670617
10.0,0.27385574181874595,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.6273330135611985
11.0,0.19288938095172245,0.52,0.7647058823529411,0.6190476190476191,0.6591981157691345
12.0,0.2427653779586156,0.56,0.8235294117647058,0.6666666666666666,0.6672562407581994
13.0,0.2009775976339976,0.4482758620689655,0.7647058823529411,0.5652173913043478,0.664710415514923
14.0,0.20914435734351475,0.5217391304347826,0.7058823529411765,0.6,0.6460039199874841
15.0,0.13952217052380245,0.631578947368421,0.7058823529411765,0.6666666666666666,0.7116625117593297
16.0,0.1797623636821906,0.65,0.7647058823529411,0.7027027027027027,0.6334614158917564
17.0,0.10542011596262454,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.6478925524915004
18.0,0.13740287857751052,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.6416516797136863
19.0,0.14376147439082462,0.6190476190476191,0.7647058823529411,0.6842105263157895,0.57245303304374
20.0,0.09171519099424283,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.5977629203824544
21.0,0.07456914770106475,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6055792416778668
22.0,0.03625533611824115,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5995338268534135
23.0,0.07157161283927659,0.5625,0.5294117647058824,0.5454545454545454,0.592776098001645
24.0,0.03995309689392646,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.6127089306568176
25.0,0.021096168893078963,0.5789473684210527,0.6470588235294118,0.6111111111111112,0.5801783909346284
