epoch,train_loss,validation_precision,validation_recall,validation_f1,validation_pr_auc
0.0,0.6663615147272746,0.41025641025641024,0.9411764705882353,0.5714285714285714,0.3817245903470966
1.0,0.594542928536733,0.4117647058823529,0.8235294117647058,0.5490196078431373,0.3864844606909319
2.0,0.54242977698644,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.3965480244241599
3.0,0.5312310338020325,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.4794470212651488
4.0,0.4340401520331701,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5346496508795431
5.0,0.39262854556242627,0.46875,0.8823529411764706,0.6122448979591837,0.555215382422328
6.0,0.33305620873967806,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.5425365603932605
7.0,0.3868936826785406,0.42424242424242425,0.8235294117647058,0.56,0.5067860874661299
8.0,0.3556945323944092,0.45161290322580644,0.8235294117647058,0.5833333333333334,0.5355959919536655
9.0,0.36281489531199135,0.4642857142857143,0.7647058823529411,0.5777777777777777,0.592907823170981
10.0,0.3000912273923556,0.4375,0.8235294117647058,0.5714285714285714,0.6106361538283736
11.0,0.20836661607027054,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.7035024658863669
12.0,0.2553148070971171,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.7024454091609437
13.0,0.22124730944633483,0.4666666666666667,0.8235294117647058,0.5957446808510638,0.7058383704460796
14.0,0.22399541934331257,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.6949866640348279
15.0,0.18287842174371083,0.5384615384615384,0.8235294117647058,0.6511627906976745,0.7187886698444006
16.0,0.21234161655108133,0.56,0.8235294117647058,0.6666666666666666,0.6389756255858425
17.0,0.10446096267551183,0.65,0.7647058823529411,0.7027027027027027,0.6722745090444182
18.0,0.13494457143048447,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.6925534324232194
19.0,0.1716248419135809,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.6821011766112841
20.0,0.09742286518837015,0.5,0.8823529411764706,0.6382978723404256,0.6910591033195017
21.0,0.10338327089945475,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.6258689109813678
22.0,0.05640789916117986,0.5555555555555556,0.5882352941176471,0.5714285714285714,0.6125859176032187
23.0,0.12608241538206735,0.5,0.4117647058823529,0.45161290322580644,0.6169543494177481
24.0,0.07621876349051794,0.5238095238095238,0.6470588235294118,0.5789473684210527,0.6400934499376815
25.0,0.05946806638191144,0.5,0.5294117647058824,0.5142857142857142,0.6387356361678058
